# Fuente: DGT DATEX II, PredefinedLocationsPublication/radares/content.xml.
# Solo cinemómetros fijos; sin controles móviles. Copia de respaldo si no se empaqueta la semilla nacional.
# id\ttipo\tvía\tdirección\tlatitud,longitud
GUID_CABINACINEMOMETRO_120154\tFIJO\tN-332\t\t38.527214,-0.2015791
GUID_CABINACINEMOMETRO_120156\tFIJO\tN-332\t\t37.908930,-0.7523943
GUID_CABINACINEMOMETRO_120157\tFIJO\tN-332\t\t37.908737,-0.7526704
GUID_CABINACINEMOMETRO_120158\tFIJO\tN-332\t\t38.560610,-0.1174709
GUID_CABINACINEMOMETRO_120159\tFIJO\tN-332\t\t38.673310,0.0385027
GUID_CABINACINEMOMETRO_120585\tFIJO\tA-31\t\t38.722477,-0.9343611
GUID_CABINACINEMOMETRO_120586\tFIJO\tA-70\t\t38.306118,-0.5883340
GUID_CABINACINEMOMETRO_120587\tFIJO\tA-70\t\t38.333973,-0.5523818
GUID_CABINACINEMOMETRO_120588\tFIJO\tA-7\t\t38.260880,-0.7558513
GUID_CABINACINEMOMETRO_120589\tFIJO\tN-332\t\t38.527100,-0.2018222
GUID_CABINACINEMOMETRO_120590\tFIJO\tN-340\t\t38.154068,-0.9113593
GUID_CABINACINEMOMETRO_120591\tFIJO\tN-340\t\t38.099827,-0.9383022
GUID_CABINACINEMOMETRO_120592\tFIJO\tN-332\t\t38.563366,-0.0962181
GUID_CABINACINEMOMETRO_120593\tFIJO\tN-332\t\t38.687180,0.0402877
GUID_CABINACINEMOMETRO_120597\tFIJO\tA-70\t\t38.413906,-0.4326693
GUID_CABINACINEMOMETRO_120599\tFIJO\tN-332\t\t38.087490,-0.6595870
GUID_CABINACINEMOMETRO_120600\tFIJO\tCV-91\t\t38.098408,-0.7623320
GUID_CABINACINEMOMETRO_120601\tFIJO\tCV-91\t\t38.094970,-0.7221674
GUID_CABINACINEMOMETRO_120602\tFIJO\tN-332\t\t38.870167,-0.0267536
GUID_CABINACINEMOMETRO_120603\tFIJO\tN-332\t\t38.870100,-0.0266195
GUID_CABINACINEMOMETRO_120604\tFIJO\tCV-734\t\t38.775350,0.1424691
GUID_CABINACINEMOMETRO_120605\tFIJO\tA-7\t\t38.459450,-0.5757850
GUID_CABINACINEMOMETRO_120606\tFIJO\tN-332\t\t38.195038,-0.5843704
GUID_CABINACINEMOMETRO_120607\tFIJO\tCV-83\t\t38.439400,-0.8564910
GUID_CABINACINEMOMETRO_163324\tFIJO\tA-70\t\t38.415024,-0.4309649
GUID_CABINACINEMOMETRO_163325\tFIJO\tA-70\t\t38.415024,-0.4489038
GUID_CABINACINEMOMETRO_163326\tFIJO\tA-70\t\t38.402733,-0.4486261
GUID_CABINACINEMOMETRO_174823\tFIJO\tA-77a\t\t38.383167,-0.5189798
GUID_CABINACINEMOMETRO_174833\tFIJO\tCV-86\t\t38.286260,-0.6665085
GUID_CABINACINEMOMETRO_174834\tFIJO\tCV-905\t\t38.016388,-0.6991670
GUID_CABINACINEMOMETRO_174838\tFIJO\tN-332\t\t38.208237,-0.5581056
GUID_CABINACINEMOMETRO_174839\tFIJO\tN-332\t\t37.975697,-0.6971400
